Z,N,BE
43,64,908.739979
49,58,908.860247
46,60,909.479152
42,66,909.599652
41,70,912.753
48,59,913.068557
44,63,913.070162
42,67,913.580993
43,65,913.984128
50,58,914.654916
47,60,915.2673
45,62,915.289021
46,61,916.015658
51,58,916.124835
41,71,916.16
49,59,917.487108
52,58,919.39265
53,58,919.405674
42,68,919.52894
43,66,920.415402
41,72,920.498
55,58,920.794286
44,64,920.9403
45,63,921.52836
54,58,921.767168
56,58,922.224204
47,61,922.5387
42,69,922.997412
50,59,923.286462
41,73,923.4
48,60,923.402052
46,62,925.238484
43,67,925.23849
51,59,925.39491
44,65,926.088743
41,74,927.475
49,60,927.928118
42,70,928.592
52,59,928.821693
45,64,929.567478
53,59,929.586448
48,61,930.725276
43,68,931.299879
46,63,931.392138
42,71,931.685
47,62,931.722735
55,59,931.783332
54,59,932.015751
57,59,932.292
56,59,933.455
44,66,933.49421
50,60,934.56957
45,65,935.46794
43,69,935.605552
49,61,935.97988
51,60,936.85332
42,72,937.08
44,67,938.278227
47,63,938.53188
42,73,940.125
46,64,940.18782
48,62,940.64025
52,60,940.873024
43,70,941.229432
53,60,941.713976
50,61,942.73743
45,66,943.015041
55,60,944.84
42,74,944.936
54,60,944.96937
43,71,945.089526
44,68,945.195104
51,61,945.686784
46,65,945.914139
49,62,945.973302
57,60,946.179
56,60,947.024
47,64,947.361357
48,63,947.615769
42,75,947.7
45,67,948.51344
44,69,949.503744
52,61,949.723868
43,72,950.880605
53,61,951.444
42,76,952.142
50,62,953.525216
49,63,953.642704
47,65,953.80096
43,73,954.1
46,66,954.321088
54,61,954.61155
55,61,955.26
45,68,955.620773
44,70,955.92876
51,62,956.576075
48,64,957.00976
57,61,957.334
56,61,957.990501
58,61,959.021
43,74,959.049
46,67,959.661992
44,71,959.967905
45,69,960.635136
50,63,961.269643
52,62,961.336692
47,66,962.315345
43,75,962.526
53,62,963.07486
49,64,963.090977
48,65,963.549531
51,63,964.727052
44,72,965.918428
54,62,967.072744
45,70,967.22567
43,76,967.232
46,68,967.63314
55,62,967.808088
47,67,968.290692
44,73,969.410754
52,63,969.58225
49,65,970.364922
43,77,970.44
57,62,970.683
56,62,970.904
50,64,971.572524
45,71,971.80334
59,62,971.872
53,63,972.300632
48,66,972.592482
46,69,972.63987
58,62,972.84
43,78,974.776
44,74,975.27
51,64,975.305225
54,63,976.282749
47,68,976.413825
55,63,977.795672
45,72,978.035877
44,75,978.656
48,67,978.73326
50,65,979.117935
49,66,979.40279
46,70,980.11648
52,64,980.859692
56,63,981.265432
57,63,981.48
47,69,982.045212
45,73,982.097244
51,65,983.195236
53,64,983.315853
59,63,983.32
58,63,983.972
44,76,984.12
46,71,984.780693
49,67,986.187572
44,77,987.239
48,68,987.4326
45,74,988.103886
54,64,988.247758
50,66,988.681456
52,65,988.757523
47,70,989.755884
55,64,989.762746
46,72,991.816196
53,65,991.92216
45,75,992.16
44,78,992.47
51,66,993.083949
48,69,993.209841
56,64,993.63528
57,64,994.257
49,68,994.952205
47,71,995.198902
44,79,995.439
50,67,995.624487
46,73,995.906716
59,64,996.792
54,65,997.034479
58,64,997.228
45,76,997.673919
60,64,998.448
55,65,999.4176
52,66,999.430028
44,80,1000.432
51,67,1000.51197
49,69,1001.308706
48,70,1001.564412
45,77,1001.62
47,72,1002.362228
53,66,1002.787891
46,74,1002.8502
56,65,1003.562747
57,65,1004.67
50,68,1004.950894
