Z,A,BE
46,100,856.37
47,100,848.5098
48,100,843.8289
49,100,832.9666
50,100,824.7942
37,101,829.853471
38,101,840.881055
39,101,849.603718
40,101,857.366376
41,101,862.069037
42,101,865.855729
43,101,867.897949
44,101,868.729482
45,101,867.405473
46,101,864.643123
47,101,859.656955
48,101,853.398086
49,101,845.471
50,101,835.674
37,102,832.626
38,102,846.622644
39,102,854.655348
40,102,863.722944
41,102,867.545598
42,102,873.97323
43,102,874.199058
44,102,877.949088
45,102,874.8438
46,102,875.21151
47,102,868.768986
48,102,865.39962
49,102,855.648828
50,102,849.086454
38,103,849.132
39,103,859.741
40,103,868.423797
41,103,874.586493
42,103,879.334175
43,103,882.301811
44,103,884.181149
45,103,884.1623
46,103,882.836793
47,103,879.366723
48,103,874.442499
49,103,867.610097
50,103,859.226
51,103,847.587
38,104,854.048
39,104,863.824
40,104,874.432
41,104,879.5644
42,104,886.88704
43,104,888.262232
44,104,893.082632
45,104,891.161232
46,104,892.819096
47,104,887.75804
48,104,885.839032
49,104,877.188624
50,104,871.89128
51,104,858.728
38,105,856.38
39,105,868.35
40,105,878.535
41,105,886.264785
42,105,891.96744
43,105,896.134995
44,105,898.992675
45,105,900.128355
46,105,899.91321
47,105,897.786015
48,105,894.265785
49,105,888.634425
50,105,881.633445
51,105,871.40865
52,105,859.32
39,106,871.85
40,106,883.934
41,106,890.612
42,106,898.956108
43,106,901.69377
44,106,907.458474
45,106,906.71552
46,106,909.47417
47,106,905.726646
48,106,905.139512
49,106,897.83113
50,106,893.867472
51,106,882.026
52,106,873.092002
39,107,875.795
40,107,887.565
41,107,896.446
42,107,903.715259
43,107,909.092865
44,107,913.13051
45,107,915.288593
46,107,916.010629
47,107,915.262378
48,107,913.0631
49,107,908.855539
50,107,903.090379
51,107,894.413
52,107,883.499
39,108,878.904
40,108,892.62
41,108,900.288
42,108,910.116
43,108,914.01426
44,108,920.951856
45,108,921.51594
46,108,925.238592
47,108,922.53384
48,108,923.401944
49,108,917.482896
50,108,914.625864
51,108,904.284
52,108,896.742144
53,108,882.9
40,109,895.762
41,109,905.79
42,109,914.183
43,109,920.668282
44,109,926.201013
45,109,929.578596
46,109,931.392247
47,109,931.725896
48,109,930.729309
49,109,927.927355
50,109,923.2954
51,109,916.13301
52,109,906.703529
53,109,895.922666
40,110,900.46
41,110,909.37
42,110,920.48
43,110,925.16479
44,110,933.40335
45,110,935.41514
46,110,940.20608
47,110,938.53518
48,110,940.6452
49,110,935.98494
50,110,934.57144
51,110,925.54
52,110,919.43995
53,110,906.73
54,110,897.50276
41,111,914.418
42,111,924.186
43,111,931.49202
44,111,938.15868
45,111,943.067766
46,111,945.932454
47,111,947.366574
48,111,947.621097
49,111,945.976965
50,111,942.743646
51,111,936.904713
52,111,928.719129
53,111,919.413
54,111,908.091
41,112,917.728
42,112,929.936
43,112,936.346208
44,112,945.047936
45,112,948.523296
46,112,954.335984
47,112,953.841728
48,112,957.01536
49,112,953.64864
50,112,953.531488
51,112,945.688576
52,112,940.6068
53,112,929.6
54,112,921.707472
55,112,907.2
41,113,922.193
42,113,933.38
43,113,942.194
44,113,949.838337
45,113,955.53591
46,113,959.762901
47,113,962.321221
48,113,963.55552
49,113,963.093463
50,113,961.274502
51,113,956.5789
52,113,949.723868
53,113,941.72279
54,113,931.904446
55,113,920.733944
42,114,938.562
43,114,946.2
44,114,956.232
45,114,960.556248
46,114,967.63884
47,114,968.308704
48,114,972.59841
49,114,970.367316
50,114,971.573664
51,114,964.745862
52,114,961.336692
53,114,951.444
54,114,944.96937
55,114,931.608
56,114,922.264332
42,115,941.62
43,115,951.625
44,115,960.206645
45,115,967.20428
46,115,972.616525
47,115,976.418195
48,115,978.739355
49,115,979.403135
50,115,979.12012
51,115,975.305225
52,115,969.58225
53,115,963.07486
54,115,954.61155
55,115,944.84
56,115,933.455
43,116,955.376
44,116,966.28
45,116,971.802992
46,116,980.245588
47,116,982.070152
48,116,987.43956
49,116,986.187804
50,116,988.683544
51,116,983.194308
52,116,980.859692
53,116,972.300632
54,116,967.07286
55,116,955.26
56,116,947.024
43,117,960.57
44,117,969.93
45,117,978.12
46,117,984.886461
47,117,989.839071
48,117,993.216744
49,117,994.954194
50,117,995.62671
51,117,993.089214
52,117,988.758927
53,117,983.314215
54,117,976.282749
55,117,967.757895
56,117,957.762
57,117,946.296
43,118,963.942
44,118,975.86
45,118,982.35
46,118,991.893132
47,118,995.21082
48,118,1001.571374
49,118,1001.31083
50,118,1004.954198
51,118,1000.515156
52,118,999.454454
53,118,991.922042
54,118,988.247758
55,118,977.79579
56,118,971.022
57,118,957.452
44,119,979.251
45,119,988.533
46,119,996.149
47,119,1002.27393
48,119,1006.841626
49,119,1009.856253
50,119,1011.437763
51,119,1010.064503
52,119,1006.989186
53,119,1002.787891
54,119,997.034479
55,119,989.762746
56,119,981.265432
57,119,970.802
58,119,959.14
44,120,985.08
45,120,992.64
46,120,1002.71916
47,120,1007.43684
48,120,1014.97944
49,120,1015.95816
50,120,1020.54576
51,120,1017.0828
52,120,1017.28056
53,120,1010.88324
54,120,1008.48384
55,120,999.4176
56,120,993.63528
57,120,981.6
58,120,972.84
45,121,998.492
46,121,1006.841
47,121,1014.520144
48,121,1020.137811
49,121,1024.135409
50,121,1026.716097
51,121,1026.324783
52,121,1024.49853
53,121,1021.452234
54,121,1016.855444
55,121,1010.700779
56,121,1003.56069
57,121,994.378
58,121,983.972
59,121,971.993
45,122,1002.352
46,122,1013.454
47,122,1019.188
48,122,1027.878426
49,122,1029.943032
50,122,1035.52929
51,122,1033.131136
52,122,1034.332714
53,122,1029.316318
54,122,1027.809008
55,122,1019.81142
