Z,N,BE
41,62,874.586493
42,61,879.334175
43,60,882.301811
44,59,884.181149
45,58,884.1623
46,57,882.836793
47,56,879.366723
48,55,874.442499
49,54,867.610097
50,53,859.226
51,52,847.587
38,66,854.048
39,65,863.824
40,64,874.432
41,63,879.5644
42,62,886.88704
43,61,888.262232
44,60,893.082632
45,59,891.161232
46,58,892.819096
47,57,887.75804
48,56,885.839032
49,55,877.188624
50,54,871.89128
51,53,858.728
38,67,856.38
39,66,868.35
40,65,878.535
41,64,886.264785
42,63,891.96744
43,62,896.134995
44,61,898.992675
45,60,900.128355
46,59,899.91321
47,58,897.786015
48,57,894.265785
49,56,888.634425
50,55,881.633445
51,54,871.40865
52,53,859.32
39,67,871.85
40,66,883.934
41,65,890.612
42,64,898.956108
43,63,901.69377
44,62,907.458474
45,61,906.71552
46,60,909.47417
47,59,905.726646
48,58,905.139512
49,57,897.83113
50,56,893.867472
51,55,882.026
52,54,873.092002
39,68,875.795
40,67,887.565
41,66,896.446
42,65,903.715259
43,64,909.092865
44,63,913.13051
45,62,915.288593
46,61,916.010629
47,60,915.262378
48,59,913.0631
49,58,908.855539
50,57,903.090379
51,56,894.413
52,55,883.499
39,69,878.904
40,68,892.62
41,67,900.288
42,66,910.116
43,65,914.01426
44,64,920.951856
45,63,921.51594
46,62,925.238592
47,61,922.53384
48,60,923.401944
49,59,917.482896
50,58,914.625864
51,57,904.284
52,56,896.742144
53,55,882.9
40,69,895.762
41,68,905.79
42,67,914.183
43,66,920.668282
44,65,926.201013
45,64,929.578596
46,63,931.392247
47,62,931.725896
48,61,930.729309
49,60,927.927355
50,59,923.2954
51,58,916.13301
52,57,906.703529
53,56,895.922666
40,70,900.46
41,69,909.37
42,68,920.48
43,67,925.16479
44,66,933.40335
45,65,935.41514
46,64,940.20608
47,63,938.53518
48,62,940.6452
49,61,935.98494
50,60,934.57144
51,59,925.54
52,58,919.43995
53,57,906.73
54,56,897.50276
41,70,914.418
42,69,924.186
43,68,931.49202
44,67,938.15868
45,66,943.067766
46,65,945.932454
47,64,947.366574
48,63,947.621097
49,62,945.976965
50,61,942.743646
51,60,936.904713
52,59,928.719129
53,58,919.413
54,57,908.091
41,71,917.728
42,70,929.936
43,69,936.346208
44,68,945.047936
45,67,948.523296
46,66,954.335984
47,65,953.841728
48,64,957.01536
49,63,953.64864
50,62,953.531488
51,61,945.688576
52,60,940.6068
53,59,929.6
54,58,921.707472
55,57,907.2
41,72,922.193
42,71,933.38
43,70,942.194
44,69,949.838337
45,68,955.53591
46,67,959.762901
47,66,962.321221
48,65,963.55552
49,64,963.093463
50,63,961.274502
51,62,956.5789
52,61,949.723868
53,60,941.72279
54,59,931.904446
55,58,920.733944
42,72,938.562
43,71,946.2
44,70,956.232
45,69,960.556248
46,68,967.63884
47,67,968.308704
48,66,972.59841
49,65,970.367316
50,64,971.573664
51,63,964.745862
52,62,961.336692
53,61,951.444
54,60,944.96937
55,59,931.608
56,58,922.264332
42,73,941.62
43,72,951.625
44,71,960.206645
45,70,967.20428
46,69,972.616525
47,68,976.418195
48,67,978.739355
49,66,979.403135
50,65,979.12012
51,64,975.305225
52,63,969.58225
53,62,963.07486
54,61,954.61155
55,60,944.84
56,59,933.455
43,73,955.376
44,72,966.28
45,71,971.802992
46,70,980.245588
47,69,982.070152
48,68,987.43956
49,67,986.187804
50,66,988.683544
51,65,983.194308
52,64,980.859692
53,63,972.300632
54,62,967.07286
55,61,955.26
56,60,947.024
43,74,960.57
44,73,969.93
45,72,978.12
46,71,984.886461
47,70,989.839071
48,69,993.216744
49,68,994.954194
50,67,995.62671
51,66,993.089214
52,65,988.758927
53,64,983.314215
54,63,976.282749
55,62,967.757895
56,61,957.762
57,60,946.296
43,75,963.942
44,74,975.86
45,73,982.35
46,72,991.893132
47,71,995.21082
48,70,1001.571374
49,69,1001.31083
50,68,1004.954198
51,67,1000.515156
52,66,999.454454
53,65,991.922042
54,64,988.247758
55,63,977.79579
56,62,971.022
57,61,957.452
44,75,979.251
45,74,988.533
46,73,996.149
47,72,1002.27393
48,71,1006.841626
49,70,1009.856253
50,69,1011.437763
51,68,1010.064503
52,67,1006.989186
53,66,1002.787891
54,65,997.034479
55,64,989.762746
56,63,981.265432
57,62,970.802
58,61,959.14
44,76,985.08
45,75,992.64
46,74,1002.71916
47,73,1007.43684
48,72,1014.97944
49,71,1015.95816
50,70,1020.54576
51,69,1017.0828
52,68,1017.28056
53,67,1010.88324
54,66,1008.48384
55,65,999.4176
56,64,993.63528
57,63,981.6
58,62,972.84
45,76,998.492
46,75,1006.841
47,74,1014.520144
48,73,1020.137811
49,72,1024.135409
50,71,1026.716097
51,70,1026.324783
52,69,1024.49853
53,68,1021.452234
54,67,1016.855444
55,66,1010.700779
56,65,1003.56069
57,64,994.378
58,63,983.972
59,62,971.993
45,77,1002.352
46,76,1013.454
47,75,1019.188
48,74,1027.878426
49,73,1029.943032
50,72,1035.52929
51,71,1033.131136
52,70,1034.332714
53,69,1029.316318
54,68,1027.809008
55,67,1019.81142
56,66,1015.498232
57,65,1004.67
58,64,997.106
59,63,983.442
46,77,1017.456
47,76,1025.943
48,75,1032.530634
49,74,1037.863176
50,73,1041.475194
51,72,1042.096467
52,71,1041.261912
53,70,1039.250985
54,69,1035.773898
55,68,1030.786617
56,67,1024.615584
57,66,1016.841
58,65,1007.616
59,64,996.915
46,78,1023.62
47,77,1030.564
48,76,1040.001392
49,75,1043.385104
50,74,1049.962684
51,73,1048.563964
52,72,1050.685852
53,71,1046.743892
54,70,1046.256696
55,69,1039.545568
56,68,1036.12168
57,67,1026.508208
58,66,1020.272
59,65,1007.872
60,64,998.448
47,78,1037
48,77,1044.7205
49,76,1051.06025
50,75,1055.695875
51,74,1057.2705
52,73,1057.254875
53,72,1056.28675
54,71,1053.86
55,70,1049.973125
56,69,1044.77125
57,68,1038.08025
58,67,1030.25
59,66,1020.625
60,65,1009.625
47,79,1041.264
48,78,1051.760682
49,77,1056.464388
50,76,1063.889064
51,75,1063.48473
52,74,1066.368492
53,73,1063.432062
54,72,1063.907712
55,71,1058.301846
56,70,1055.844468
57,69,1047.365676
58,68,1042.430382
59,67,1031.058
60,66,1022.994
61,65,1008.882
47,80,1047.242
48,79,1056.021764
49,78,1063.707423
50,77,1069.43906
51,76,1071.857648
52,75,1072.656351
53,74,1072.576087
54,73,1071.131335
55,72,1068.268247
56,71,1064.061499
57,70,1058.359326
58,69,1051.656774
59,68,1043.305
60,67,1033.526
61,66,1022.35
47,81,1051.136
48,80,1062.864896
49,79,1069.15264
50,78,1077.34592
51,77,1077.83744
52,76,1081.43872
53,75,1079.402112
54,74,1080.741888
55,73,1076.030848
56,72,1074.71872
57,71,1067.16672
58,70,1063.2864
59,69,1053.300864
60,68,1046.4
61,67,1033.472
62,66,1023.616
47,82,1056.897
48,81,1066.83
49,80,1075.803756
50,79,1082.67636
51,78,1085.927934
52,77,1087.521084
53,76,1088.23884
54,75,1087.6506
55,74,1085.671224
56,73,1082.453061
57,72,1077.932256
58,71,1072.11126
59,70,1064.81502
60,69,1056.51
61,68,1046.448
62,67,1034.967
47,83,1058.72
48,82,1073.28858
49,81,1080.82624
50,80,1090.29284
51,79,1091.66317
52,78,1095.94056
53,77,1094.73923
54,76,1096.9062
55,75,1093.14257
56,74,1092.72137
57,73,1086.30548
58,72,1083.31808
59,71,1074.28828
60,70,1068.92669
61,69,1057.03
62,68,1048.32
63,67,1033.89
48,83,1075.117
49,82,1087.144634
50,81,1095.539376
51,80,1099.430862
52,79,1101.869951
53,78,1103.322479
54,77,1103.510988
55,76,1102.373253
56,75,1100.214897
57,74,1096.518077
58,73,1091.681819
59,72,1085.462332
60,71,1078.170741
61,70,1069.353
62,69,1059.004
63,68,1047.345
48,84,1078.572
49,83,1089.498036
50,82,1102.85076
51,81,1105.187688
52,80,1109.91408
53,79,1109.64942
54,78,1112.447556
55,77,1109.540784
56,76,1110.037236
57,75,1104.560292
58,74,1102.511784
59,73,1094.468892
60,72,1089.89892
61,71,1079.364
62,70,1072.104
63,69,1058.64
49,84,1093.127
50,83,1105.32044
51,82,1112.528109
52,81,1115.747773
53,80,1117.907427
54,79,1118.882051
55,78,1118.527074
56,77,1117.227265
57,76,1114.385853
58,75,1110.532311
59,74,1105.264314
60,73,1098.876723
61,72,1091.169639
62,71,1082.088
63,70,1071.448
49,85,1095.182
50,84,1109.234982
51,83,1115.822556
52,82,1123.434024
53,81,1124.164592
54,80,1127.434326
55,79,1125.418564
56,78,1126.694914
57,77,1122.181392
58,76,1121.016396
59,75,1113.912118
60,74,1110.262092
61,73,1100.57215
62,72,1094.512
63,71,1082.05
64,70,1073.072
49,86,1098.495
50,85,1111.32
51,84,1119.435795
52,83,1126.77345
53,82,1131.95313
54,81,1133.798175
55,80,1134.18063
56,79,1133.666955
57,78,1131.684615
58,77,1128.876615
59,76,1124.40528
60,75,1118.90079
61,74,1111.882275
62,73,1103.97951
63,72,1094.58
64,71,1083.78
50,86,1115.064
51,85,1122.68
52,84,1131.442344
53,83,1135.734096
54,82,1141.877488
